Tiempo en segundos: 0.7756948471
Posiciones finales de los cuerpos:
Cuerpo 381: px=-0.302400, py=-1.044620, pz=-0.328299
Cuerpo 382: px=-0.335978, py=-1.173482, pz=-0.438775
Cuerpo 383: px=-0.385242, py=-1.334237, pz=-0.529846
Cuerpo 384: px=-0.450568, py=-1.536974, pz=-0.585301
Cuerpo 385: px=-0.514178, py=-1.742785, pz=-0.587945
Cuerpo 386: px=-0.568271, py=-1.938707, pz=-0.527796
Cuerpo 387: px=-0.613629, py=-2.108782, pz=-0.413604
Cuerpo 388: px=-0.642804, py=-2.216691, pz=-0.276980
Cuerpo 389: px=-0.660035, py=-2.282928, pz=-0.078954
Cuerpo 390: px=-0.028060, py=-2.382498, pz=0.004304
Cuerpo 391: px=-0.026394, py=-2.360001, pz=0.161009
Cuerpo 392: px=-0.025154, py=-2.280537, pz=0.319258
Cuerpo 393: px=-0.026279, py=-2.139039, pz=0.464335
Cuerpo 394: px=-0.031197, py=-1.964884, pz=0.555092
Cuerpo 395: px=-0.040757, py=-1.746201, pz=0.595922
Cuerpo 396: px=-0.056348, py=-1.494198, pz=0.572932
Cuerpo 397: px=-0.078785, py=-1.272180, pz=0.488292
Cuerpo 398: px=-0.093575, py=-1.121648, pz=0.385741
Cuerpo 399: px=-0.122709, py=-1.031434, pz=0.298187
Cuerpo 400: px=-0.152771, py=-0.968565, pz=0.211131
Cuerpo 401: px=-0.156709, py=-0.923654, pz=0.078801
Cuerpo 402: px=-0.133107, py=-0.932497, pz=-0.078583
Cuerpo 403: px=-0.108115, py=-0.995290, pz=-0.212600
Cuerpo 404: px=-0.095177, py=-1.091191, pz=-0.327568
Cuerpo 405: px=-0.082596, py=-1.223355, pz=-0.435145
Cuerpo 406: px=-0.074337, py=-1.394580, pz=-0.524764
Cuerpo 407: px=-0.060915, py=-1.584292, pz=-0.579869
Cuerpo 408: px=-0.046157, py=-1.792491, pz=-0.586876
Cuerpo 409: px=-0.034889, py=-2.027929, pz=-0.518012
Cuerpo 410: px=-0.030748, py=-2.196330, pz=-0.410460
Cuerpo 411: px=-0.029825, py=-2.303699, pz=-0.273431
Cuerpo 412: px=-0.028712, py=-2.378398, pz=-0.047017
Cuerpo 413: px=0.587047, py=-2.311448, pz=0.021751
Cuerpo 414: px=0.579325, py=-2.275303, pz=0.220314
Cuerpo 415: px=0.561162, py=-2.203415, pz=0.343666
Cuerpo 416: px=0.523059, py=-2.068914, pz=0.474665
Cuerpo 417: px=0.473414, py=-1.908635, pz=0.561841
Cuerpo 418: px=0.403758, py=-1.701425, pz=0.599736
Cuerpo 419: px=0.322904, py=-1.487611, pz=0.585000
